# 거리 단위 수정 보고서
생성일: 2025-11-24T09:25:24.746Z

## 요약
- 수정 대상: 977개
- 성공: 977개
- 실패: 0개

## 수정 내역

| ID | 산 | 등산로 | 기존 거리 | 수정 거리 |
| 3610254a-653f-4f9e-ab16-44a4b9ff5297 | 북한산 | 북한산 31번 코스 (역방향) | 22321m | 22.3km |
| 9eb6c25b-650c-4a01-b8eb-6e1b78ca05e1 | 공작산 | 공작산 7번 코스 (정방향) | 22317m | 22.3km |
| 20a1ee06-949f-4f04-92d1-32fcc49a89e2 | 미륵산 | 미륵산 5번 코스 (역방향) | 22183m | 22.2km |
| 90977ba3-863f-4db7-9774-bc6c60342a8c | 운문산 | 운문산 5번 코스 (정방향) | 22124m | 22.1km |
| dd447b99-48e1-420c-b5f6-11cb456a8463 | 무등산 | 무등산 16번 코스 (정방향) | 22109m | 22.1km |
| 3e212c57-fe5c-4b69-9ca8-5e4943e7d7c4 | 백운산(정선) | 백운산(정선) 1번 코스 (역방향) | 22069m | 22.1km |
| 0bc08c44-e7e2-4717-a317-2ad54ba6f5b8 | 화악산 | 화악산 3번 코스 (역방향) | 21836m | 21.8km |
| aab4ffd2-472a-4844-9c36-4af48033e603 | 한라산 | 한라산 4번 코스 (정방향) | 21812m | 21.8km |
| b365eefa-6dbb-453d-b37f-e7444756365a | 도락산 | 도락산 1번 코스 (역방향) | 21534m | 21.5km |
| 343393d7-2c80-47a6-a0fa-f4e27bf39eaa | 백두대간트레일 | 백두대간트레일 3번 코스 (왕복코스) | 21359m | 21.4km |
| f4313ddc-d686-434a-af45-cced7c69d20a | 강천산 | 강천산 2번 코스 (역방향) | 21331m | 21.3km |
| 2c39163e-c158-4328-b16e-f327e647bab0 | 강천산 | 강천산 5번 코스 (역방향) | 21330m | 21.3km |
| 39fdd309-c93d-48f6-a95b-6f9457e8351b | 신불산 | 신불산 4번 코스 (역방향) | 21214m | 21.2km |
| 5987153e-5459-4a6c-ac79-7fb3d311fe0a | 내연산 | 내연산 1번 코스 (정방향) | 20998m | 21km |
| 908e184c-7b6b-4b97-9da7-347f9ad6b67b | 치악산 | 치악산 5번 코스 (왕복코스) | 20936m | 20.9km |
| 9547ea68-f4de-4c3a-8fb5-14cf4c458449 | 서대산 | 서대산 3번 코스 (역방향) | 20895m | 20.9km |
| 2ccc8b5c-1b5b-46cc-b58d-5a12481c3aa9 | 관악산 | 관악산 20번 코스 (역방향) | 20889m | 20.9km |
| d5d525d6-60d6-4d66-88df-43957f413218 | 미륵산 | 미륵산 6번 코스 (역방향) | 20776m | 20.8km |
| 81d3d9a0-2dfa-45d8-9d04-035fb2d3c212 | 지리산 | 지리산 5번 코스 (정방향) | 20678m | 20.7km |
| 3cd36033-9981-440f-8f25-ceb799bccebd | 북한산 | 북한산 24번 코스 (정방향) | 20647m | 20.6km |
| 5b0be152-9472-43a8-8f66-cc6b2eb7e957 | 무등산 | 무등산 17번 코스 (역방향) | 20597m | 20.6km |
| ae401fc1-be52-4aaa-8aea-9f6dadbfff12 | 한라산 | 한라산 5번 코스 (역방향) | 20559m | 20.6km |
| a3a06817-6558-41af-801c-4f7b24996e7e | 설악산 | 설악산 8번 코스 (왕복코스) | 20322m | 20.3km |
| b144c4db-17b3-4430-a642-4fa3aad4910b | 백운산(정선) | 백운산(정선) 2번 코스 (정방향) | 20250m | 20.3km |
| 4590ccbe-b9d0-44fa-8dcd-67e6574cbcb1 | 방장산 | 방장산 1번 코스 (역방향) | 20221m | 20.2km |
| 63c08d37-c36a-4c60-83bc-4a9140200132 | 운문산 | 운문산 7번 코스 (정방향) | 20102m | 20.1km |
| 42913821-c7da-469f-8318-ee55f5e81205 | 덕유산 | 덕유산 9번 코스 (정방향) | 20064m | 20.1km |
| a29a4b88-d435-44ad-a861-a79d7d02285c | 선운산 | 선운산 2번 코스 (정방향) | 20055m | 20.1km |
| ee8e13b1-29fb-4cb5-a179-287ac7e0afdd | 금오산 | 금오산 6번 코스 (정방향) | 20047m | 20km |
| a00a28bd-bd9d-4e93-9674-5703e7d1c765 | 팔공산 | 팔공산 6번 코스 (정방향) | 20046m | 20km |
| da6259f3-4a9b-4c5e-9a80-c189b3f019e9 | 백운산(포천) | 백운산(포천) 2번 코스 (정방향) | 20045m | 20km |
| f03d4d07-4eee-4e67-9d51-2b146304802b | 북한산 | 북한산 33번 코스 (역방향) | 20004m | 20km |
| c4240045-2862-4783-929b-17ba94516ee0 | 설악산 | 설악산 4번 코스 (역방향) | 19990m | 20km |
| f4bd741d-dcb5-4ac3-9d04-69abb0d432e2 | 설악산 | 설악산 4번 코스 (정방향) | 19972m | 20km |
| bb616da9-7fd2-4241-bd7b-387e981d95bd | 오대산 | 오대산 3번 코스 (정방향) | 19956m | 20km |
| 4c97fce9-b609-4b4c-becc-f22bf95f504e | 팔공산 | 팔공산 18번 코스 (정방향) | 19951m | 20km |
| 701cda00-4d6e-4841-89cb-fa8e74ab8e79 | 백두대간트레일 | 백두대간트레일 1번 코스 (왕복코스) | 19928m | 19.9km |
| d3e797fd-152e-4c44-a1a3-e7b348811061 | 명성산 | 명성산 1번 코스 (정방향) | 19849m | 19.8km |
| b45c88ef-19e5-48b9-8c95-630b084d5127 | 소백산 | 소백산 3번 코스 (역방향) | 19775m | 19.8km |
| 2737f931-8be4-4dc0-af04-614944cc79b2 | 주흘산 | 주흘산 1번 코스 (정방향) | 19616m | 19.6km |
| 2e805146-f977-48ac-a949-5d9eb05ce0c4 | 백덕산 | 백덕산 2번 코스 (역방향) | 19611m | 19.6km |
| e822c3fe-e85b-4b9d-b27e-233edd9ddeee | 가리왕산 | 가리왕산 1번 코스 (정방향) | 19573m | 19.6km |
| 1cdb0d6f-e92d-4804-94b8-68f2f7a55469 | 선운산 | 선운산 4번 코스 (정방향) | 19567m | 19.6km |
| a303879c-2f71-4b39-ad16-24e62c153a9f | 용문산 | 용문산 2번 코스 (역방향) | 19377m | 19.4km |
| c55f8194-1fb7-42c2-9516-b36acb10e203 | 금산 | 금산 1번 코스 (역방향) | 19076m | 19.1km |
| 0fe4ccd9-c240-4bfd-865f-a5d3944f9bca | 백운산(포천) | 백운산(포천) 1번 코스 (정방향) | 19050m | 19.1km |
| a73d3340-fb0f-4e17-a6a1-0705c19a0783 | 신불산 | 신불산 12번 코스 (역방향) | 18928m | 18.9km |
| 06a63520-b6fc-431f-be60-016cae0d5a97 | 신불산 | 신불산 11번 코스 (정방향) | 18903m | 18.9km |
| 572f2851-68c8-42e1-b3b5-aee7a0095bc0 | 설악산 | 설악산 5번 코스 (역방향) | 18757m | 18.8km |
| bd2653a5-1891-4ea0-bb4e-42d5643b5136 | 무등산 | 무등산 31번 코스 (왕복코스) | 18750m | 18.8km |
| a837b726-c6cd-4845-9445-b1350cff6720 | 금오산 | 금오산 15번 코스 (정방향) | 18736m | 18.7km |
| fdff8f34-2696-4da0-a109-8c3175df1fa1 | 재약산 | 재약산 2번 코스 (정방향) | 18704m | 18.7km |
| 932bd02e-0b5c-43d1-a859-ee22eb5e4299 | 무등산 | 무등산 29번 코스 (역방향) | 18693m | 18.7km |
| 27497024-6993-4add-987c-a2215c01f658 | 오봉산 | 오봉산 2번 코스 (정방향) | 18685m | 18.7km |
| d2db1052-e805-4457-9fe0-b625a5931624 | 무등산 | 무등산 8번 코스 (역방향) | 18666m | 18.7km |
| bd889f54-6d2b-42b6-89ab-3c7413c85ede | 삼악산 | 삼악산 14번 코스 (정방향) | 18648m | 18.6km |
| 5b313ed3-a457-4977-bf17-b3be528dff37 | 금정산 | 금정산 33번 코스 (역방향) | 18627m | 18.6km |
| 56c1ffa5-4cf5-47ec-8986-5ae408592879 | 공작산 | 공작산 3번 코스 (역방향) | 18608m | 18.6km |
